# Compile of axi4_lite_Defs.sv was successful.
# Compile of axi4_lite_if.sv was successful.
# Compile of axi4_lite_master.sv was successful.
# Compile of axi4_lite_slave.sv was successful.
# Compile of Top.sv was successful.
# 5 compiles, 0 failed with no errors.
vsim -gui work.Top
# ** Info: SW_state_transition_DATA_a: ASSERTION PASS => when in DATA state and BREADY is high then next state is RESP in the next clock cycle
#    Time: 1815 ns Started: 1805 ns  Scope: Top.SW_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 493
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 1815 ns Started: 1805 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# ** Info: SW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is not IDLE in the next clock cycle
#    Time: 1825 ns Started: 1815 ns  Scope: Top.SW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 502
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 1825 ns Started: 1815 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: MW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 1825 ns Started: 1815 ns  Scope: Top.MW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 409
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 1825 ns Started: 1815 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# Address: 00001111 | Write Data: 00000001 | Read Data: xxxxxxxx | Data Mismatch
# 
# 
# multiple writes followed by multiple reads to consecutive locations and check if the write and read data match
# ** Info: SR_state_transition_reset_a: ASSERTION PASS => When ARESETN goes low, next state is IDLE in the same clock cycle
#    Time: 1955 ns Started: 1955 ns  Scope: Top.SR_state_transition_reset_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 422
# ** Info: MR_state_transition_reset_a: ASSERTION PASS => When ARESETN goes low, next state is IDLE in the same clock cycle
#    Time: 1955 ns Started: 1955 ns  Scope: Top.MR_state_transition_reset_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 333
# ** Info: SW_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 1985 ns Started: 1975 ns  Scope: Top.SW_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 485
# ** Info: SW_state_transition_DATA_a: ASSERTION PASS => when in DATA state and BREADY is high then next state is RESP in the next clock cycle
#    Time: 1995 ns Started: 1985 ns  Scope: Top.SW_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 493
# ** Info: MW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2005 ns Started: 1995 ns  Scope: Top.MW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 409
# ** Info: SW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is not IDLE in the next clock cycle
#    Time: 2005 ns Started: 1995 ns  Scope: Top.SW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 502
# ** Info: SW_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2035 ns Started: 2025 ns  Scope: Top.SW_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 485
# ** Info: SW_state_transition_DATA_a: ASSERTION PASS => when in DATA state and BREADY is high then next state is RESP in the next clock cycle
#    Time: 2045 ns Started: 2035 ns  Scope: Top.SW_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 493
# ** Info: MW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2055 ns Started: 2045 ns  Scope: Top.MW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 409
# ** Info: SW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is not IDLE in the next clock cycle
#    Time: 2055 ns Started: 2045 ns  Scope: Top.SW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 502
# ** Info: SW_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2085 ns Started: 2075 ns  Scope: Top.SW_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 485
# ** Info: SW_state_transition_DATA_a: ASSERTION PASS => when in DATA state and BREADY is high then next state is RESP in the next clock cycle
#    Time: 2095 ns Started: 2085 ns  Scope: Top.SW_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 493
# ** Info: MW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2105 ns Started: 2095 ns  Scope: Top.MW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 409
# ** Info: SW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is not IDLE in the next clock cycle
#    Time: 2105 ns Started: 2095 ns  Scope: Top.SW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 502
# ** Info: SW_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2135 ns Started: 2125 ns  Scope: Top.SW_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 485
# ** Info: SW_state_transition_DATA_a: ASSERTION PASS => when in DATA state and BREADY is high then next state is RESP in the next clock cycle
#    Time: 2145 ns Started: 2135 ns  Scope: Top.SW_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 493
# ** Info: MW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2155 ns Started: 2145 ns  Scope: Top.MW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 409
# ** Info: SW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is not IDLE in the next clock cycle
#    Time: 2155 ns Started: 2145 ns  Scope: Top.SW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 502
# ** Info: SW_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2185 ns Started: 2175 ns  Scope: Top.SW_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 485
# ** Info: SW_state_transition_DATA_a: ASSERTION PASS => when in DATA state and BREADY is high then next state is RESP in the next clock cycle
#    Time: 2195 ns Started: 2185 ns  Scope: Top.SW_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 493
# ** Info: MW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2205 ns Started: 2195 ns  Scope: Top.MW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 409
# ** Info: SW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is not IDLE in the next clock cycle
#    Time: 2205 ns Started: 2195 ns  Scope: Top.SW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 502
# ** Info: SW_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2235 ns Started: 2225 ns  Scope: Top.SW_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 485
# ** Info: SW_state_transition_DATA_a: ASSERTION PASS => when in DATA state and BREADY is high then next state is RESP in the next clock cycle
#    Time: 2245 ns Started: 2235 ns  Scope: Top.SW_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 493
# ** Info: MW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2255 ns Started: 2245 ns  Scope: Top.MW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 409
# ** Info: SW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is not IDLE in the next clock cycle
#    Time: 2255 ns Started: 2245 ns  Scope: Top.SW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 502
# ** Info: SW_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2285 ns Started: 2275 ns  Scope: Top.SW_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 485
# ** Info: SW_state_transition_DATA_a: ASSERTION PASS => when in DATA state and BREADY is high then next state is RESP in the next clock cycle
#    Time: 2295 ns Started: 2285 ns  Scope: Top.SW_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 493
# ** Info: MW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2305 ns Started: 2295 ns  Scope: Top.MW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 409
# ** Info: SW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is not IDLE in the next clock cycle
#    Time: 2305 ns Started: 2295 ns  Scope: Top.SW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 502
# ** Info: SW_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2335 ns Started: 2325 ns  Scope: Top.SW_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 485
# ** Info: SW_state_transition_DATA_a: ASSERTION PASS => when in DATA state and BREADY is high then next state is RESP in the next clock cycle
#    Time: 2345 ns Started: 2335 ns  Scope: Top.SW_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 493
# ** Info: MW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2355 ns Started: 2345 ns  Scope: Top.MW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 409
# ** Info: SW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is not IDLE in the next clock cycle
#    Time: 2355 ns Started: 2345 ns  Scope: Top.SW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 502
# ** Info: SW_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2385 ns Started: 2375 ns  Scope: Top.SW_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 485
# ** Info: SW_state_transition_DATA_a: ASSERTION PASS => when in DATA state and BREADY is high then next state is RESP in the next clock cycle
#    Time: 2395 ns Started: 2385 ns  Scope: Top.SW_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 493
# ** Info: MW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2405 ns Started: 2395 ns  Scope: Top.MW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 409
# ** Info: SW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is not IDLE in the next clock cycle
#    Time: 2405 ns Started: 2395 ns  Scope: Top.SW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 502
# ** Info: SW_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2435 ns Started: 2425 ns  Scope: Top.SW_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 485
# ** Info: SW_state_transition_DATA_a: ASSERTION PASS => when in DATA state and BREADY is high then next state is RESP in the next clock cycle
#    Time: 2445 ns Started: 2435 ns  Scope: Top.SW_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 493
# ** Info: MW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2455 ns Started: 2445 ns  Scope: Top.MW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 409
# ** Info: SW_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is not IDLE in the next clock cycle
#    Time: 2455 ns Started: 2445 ns  Scope: Top.SW_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 502
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2495 ns Started: 2485 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 2505 ns Started: 2495 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Address: 00000001 | Write Data: 0000e29f | Read Data: 0000e29f | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2515 ns Started: 2505 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2515 ns Started: 2505 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 2525 ns Started: 2515 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2545 ns Started: 2535 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 2555 ns Started: 2545 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Address: 00000002 | Write Data: 00004f19 | Read Data: 00004f19 | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2565 ns Started: 2555 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2565 ns Started: 2555 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 2575 ns Started: 2565 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2595 ns Started: 2585 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 2605 ns Started: 2595 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Address: 00000003 | Write Data: 0000e242 | Read Data: 0000e242 | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2615 ns Started: 2605 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2615 ns Started: 2605 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 2625 ns Started: 2615 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2645 ns Started: 2635 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 2655 ns Started: 2645 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Address: 00000004 | Write Data: 00006be1 | Read Data: 00006be1 | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2665 ns Started: 2655 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2665 ns Started: 2655 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 2675 ns Started: 2665 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2695 ns Started: 2685 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 2705 ns Started: 2695 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Address: 00000005 | Write Data: 0000dc71 | Read Data: 0000dc71 | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2715 ns Started: 2705 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2715 ns Started: 2705 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 2725 ns Started: 2715 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2745 ns Started: 2735 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 2755 ns Started: 2745 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Address: 00000006 | Write Data: 000024c8 | Read Data: 000024c8 | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2765 ns Started: 2755 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2765 ns Started: 2755 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 2775 ns Started: 2765 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2795 ns Started: 2785 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 2805 ns Started: 2795 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Address: 00000007 | Write Data: 0000b397 | Read Data: 0000b397 | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2815 ns Started: 2805 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2815 ns Started: 2805 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 2825 ns Started: 2815 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2845 ns Started: 2835 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 2855 ns Started: 2845 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Address: 00000008 | Write Data: 000052c4 | Read Data: 000052c4 | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2865 ns Started: 2855 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2865 ns Started: 2855 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 2875 ns Started: 2865 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2895 ns Started: 2885 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 2905 ns Started: 2895 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Address: 00000009 | Write Data: 00007f64 | Read Data: 00007f64 | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2915 ns Started: 2905 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2915 ns Started: 2905 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 2925 ns Started: 2915 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 2945 ns Started: 2935 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 2955 ns Started: 2945 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
# Address: 0000000a | Write Data: 00005fc4 | Read Data: 00005fc4 | Data Match
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2965 ns Started: 2955 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 2965 ns Started: 2955 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 2975 ns Started: 2965 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 2985 ns Started: 2975 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 2995 ns Started: 2985 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 3005 ns Started: 2995 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 3015 ns Started: 3005 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 3025 ns Started: 3015 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 3035 ns Started: 3025 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 3045 ns Started: 3035 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
